[2026-05-08 12:10:15] INSERT INTO ARTIKULUA | ID: G-008-26        | OK
[2026-05-08 12:10:15] INSERT INTO MUGIMENDUA | ID: G-008-26        | OK
[2026-05-08 13:22:01] INSERT INTO ARTIKULUA | ID: G-008-26        | OK
[2026-05-08 13:22:01] INSERT INTO MUGIMENDUA | ID: G-008-26        | OK
[2026-05-09 19:00:45] INSERT INTO ARTIKULUA | ID: G-001-25        | OK
[2026-05-09 19:00:45] INSERT INTO MUGIMENDUA | ID: G-001-25        | OK
[2026-05-09 19:00:45] INSERT INTO ARTIKULUA | ID: G-002-25        | OK
[2026-05-09 19:00:45] INSERT INTO MUGIMENDUA | ID: G-002-25        | OK
[2026-05-09 19:00:45] INSERT INTO ARTIKULUA | ID: G-003-25        | OK
[2026-05-09 19:00:45] INSERT INTO MUGIMENDUA | ID: G-003-25        | OK
[2026-05-09 19:00:46] INSERT INTO ARTIKULUA | ID: G-004-25        | OK
[2026-05-09 19:00:46] INSERT INTO MUGIMENDUA | ID: G-004-25        | OK
[2026-05-09 19:00:48] INSERT INTO ARTIKULUA | ID: G-004-25        | OK
[2026-05-09 19:00:48] INSERT INTO MUGIMENDUA | ID: G-004-25        | OK
[2026-05-09 19:00:49] INSERT INTO ARTIKULUA | ID: G-005-25        | OK
[2026-05-09 19:00:49] INSERT INTO MUGIMENDUA | ID: G-005-25        | OK
[2026-05-09 19:00:49] INSERT INTO ARTIKULUA | ID: G-006-25        | OK
[2026-05-09 19:00:49] INSERT INTO MUGIMENDUA | ID: G-006-25        | OK
[2026-05-09 19:00:50] INSERT INTO ARTIKULUA | ID: G-007-25        | OK
[2026-05-09 19:00:50] INSERT INTO MUGIMENDUA | ID: G-007-25        | OK
